league,season,team,spi,win_forecast
UEFA Europa League,2019,Bayer Leverkusen,82.0201,0.02725
UEFA Europa League,2019,Internazionale,80.23023,0.0261
UEFA Europa League,2019,Barcelona,91.55512,0.02575
UEFA Europa League,2019,Liverpool,92.14145,0.0252
UEFA Europa League,2019,Wolverhampton,73.38105,0.0244
UEFA Europa League,2019,Napoli,81.98098,0.024
UEFA Europa League,2019,Eintracht Frankfurt,73.74805,0.0223
UEFA Europa League,2019,Getafe,73.3064,0.0212
UEFA Europa League,2019,Tottenham Hotspur,84.49071,0.02035
UEFA Europa League,2019,Young Boys,72.00562,0.01985
UEFA Europa League,2019,FC Krasnodar,71.9691,0.01925
UEFA Europa League,2019,PSV,71.33551,0.01915
UEFA Europa League,2019,AS Roma,72.08252,0.01885
UEFA Europa League,2019,Olympiacos,74.84871,0.0187
UEFA Europa League,2019,Paris Saint-Germain,88.50801,0.01845
UEFA Europa League,2019,VfL Wolfsburg,71.32547,0.01825
UEFA Europa League,2019,Borussia Monchengladbach,71.80399,0.0181
UEFA Europa League,2019,Real Madrid,85.2734,0.01685
UEFA Europa League,2019,Chelsea,84.31412,0.01565
UEFA Europa League,2019,Bayern Munich,93.56255,0.01565
UEFA Europa League,2019,Ajax,82.41479,0.0153
UEFA Europa League,2019,Lazio,69.94816,0.0129
UEFA Europa League,2019,FC Copenhagen,67.41516,0.0125
UEFA Europa League,2019,RB Leipzig,82.83305,0.01235
UEFA Europa League,2019,Valencia,76.86302,0.0118
UEFA Europa League,2019,Espanyol,68.78845,0.01065
UEFA Europa League,2019,Sporting CP,67.18594,0.00965
UEFA Europa League,2019,Benfica,76.3759,0.00955
UEFA Europa League,2019,Celtic,66.09744,0.00935
UEFA Europa League,2019,CSKA Moscow,67.33723,0.0091
UEFA Europa League,2019,Lyon,74.90903,0.00785
UEFA Europa League,2019,Shakhtar Donetsk,70.96714,0.00755
UEFA Europa League,2019,Zenit St Petersburg,72.50933,0.00755
UEFA Europa League,2019,Dynamo Kiev,65.44479,0.0074
UEFA Europa League,2019,Basel,66.42142,0.00655
UEFA Europa League,2019,Club Brugge,68.51081,0.006
UEFA Europa League,2019,Ludogorets,63.33606,0.00585
UEFA Europa League,2019,St Etienne,62.46214,0.0048
UEFA Europa League,2019,Galatasaray,66.81696,0.0048
UEFA Europa League,2019,Lille,69.16224,0.0047
UEFA Europa League,2019,Besiktas,61.82079,0.0042
UEFA Europa League,2019,Manchester City,94.68367,0.00345
UEFA Europa League,2019,Dinamo Zagreb,66.61068,0.0034
UEFA Europa League,2019,Apoel Nicosia,58.9322,0.0032
UEFA Europa League,2019,LASK Linz,60.41362,0.0029
UEFA Europa League,2019,Rangers,61.6119,0.00265
UEFA Europa League,2019,Lokomotiv Moscow,65.93182,0.00265
UEFA Europa League,2019,Atalanta,67.02881,0.00255
UEFA Europa League,2019,Genk,63.73613,0.0023
UEFA Europa League,2019,FC Astana,58.28567,0.0021
UEFA Europa League,2019,Stade Rennes,60.92133,0.002
UEFA Europa League,2019,Red Star Belgrade,62.40446,0.00185
UEFA Europa League,2019,Braga,58.93139,0.00165
UEFA Europa League,2019,Feyenoord,57.75407,0.0013
UEFA Europa League,2019,Slavia Prague,60.34052,0.00125
UEFA Europa League,2019,Trabzonspor,56.89936,0.001
UEFA Europa League,2019,Standard Liege,56.53527,0.00085
UEFA Europa League,2019,AZ,54.07223,0.0007
UEFA Europa League,2019,Malmo FF,54.29017,0.0005
UEFA Europa League,2019,Istanbul Basaksehir,53.02169,0.0005
UEFA Europa League,2019,KAA Gent,53.77899,0.0004
UEFA Europa League,2019,Ferencvaros,51.03243,0.0003
UEFA Europa League,2019,Guimaraes,50.9993,0.0003
UEFA Europa League,2019,FK Partizan Belgrade,47.99752,0.0003
UEFA Europa League,2019,FK Qarabag,49.90528,0.00015
UEFA Europa League,2019,Wolfsberger AC,49.62449,0.0001
UEFA Europa League,2019,FC Lugano,43.12503,0.00005
UEFA Europa League,2019,CFR 1907 Cluj,45.27167,0.00005
UEFA Europa League,2019,PFC Oleksandriya,43.17151,0.00005
UEFA Europa League,2019,Rosenborg,42.65675,0.00005
UEFA Europa League,2019,Slovan Bratislava,43.46821,0.00001
UEFA Europa League,2019,F91 Dudelange,34.48672,0.00001
UEFA Europa League,2018,Chelsea,85.36908,0.11045
UEFA Europa League,2018,Arsenal,80.50496,0.05375
UEFA Europa League,2018,Sevilla FC,79.3943,0.0468
UEFA Europa League,2018,Lazio,77.17809,0.0378
UEFA Europa League,2018,Dynamo Kiev,75.14891,0.03395
UEFA Europa League,2018,FC Salzburg,75.32679,0.03265
UEFA Europa League,2018,Paris Saint-Germain,88.0628,0.0322
UEFA Europa League,2018,Zenit St Petersburg,74.49319,0.0321
UEFA Europa League,2018,Napoli,83.27835,0.0311
UEFA Europa League,2018,AC Milan,75.51369,0.0289
UEFA Europa League,2018,Liverpool,90.01768,0.0281
UEFA Europa League,2018,PAOK Salonika,74.0686,0.028
UEFA Europa League,2018,Bayer Leverkusen,74.90792,0.02755
UEFA Europa League,2018,Villarreal,75.01455,0.0272
UEFA Europa League,2018,Tottenham Hotspur,85.93601,0.02575
UEFA Europa League,2018,Internazionale,79.30043,0.0216
UEFA Europa League,2018,Barcelona,92.70481,0.0196
UEFA Europa League,2018,Real Betis,74.09213,0.01895
UEFA Europa League,2018,Marseille,72.57526,0.01635
UEFA Europa League,2018,Juventus,89.395,0.0156
UEFA Europa League,2018,RB Leipzig,71.43334,0.0148
UEFA Europa League,2018,Manchester United,80.00745,0.0145
UEFA Europa League,2018,Fenerbahce,68.98809,0.0141
UEFA Europa League,2018,Besiktas,69.06204,0.01355
UEFA Europa League,2018,Spartak Moscow,69.64632,0.0132
UEFA Europa League,2018,Ludogorets,67.08279,0.01275
UEFA Europa League,2018,Valencia,78.67057,0.0122
UEFA Europa League,2018,Ajax,76.05812,0.01205
UEFA Europa League,2018,Atletico Madrid,86.33841,0.01155
UEFA Europa League,2018,AS Roma,80.02368,0.011
UEFA Europa League,2018,Shakhtar Donetsk,75.74423,0.01065
UEFA Europa League,2018,Lyon,76.57291,0.0103
UEFA Europa League,2018,Benfica,75.91121,0.01025
UEFA Europa League,2018,Sporting CP,67.69595,0.01015
UEFA Europa League,2018,Manchester City,92.42807,0.01005
UEFA Europa League,2018,Olympiacos,67.74626,0.0096
UEFA Europa League,2018,Borussia Dortmund,77.83367,0.00925
UEFA Europa League,2018,Galatasaray,76.89643,0.0087
UEFA Europa League,2018,Bayern Munich,91.87844,0.00825
UEFA Europa League,2018,Anderlecht,65.95967,0.0082
UEFA Europa League,2018,FC Porto,78.36418,0.0082
UEFA Europa League,2018,Eintracht Frankfurt,67.41863,0.0081
UEFA Europa League,2018,Real Madrid,92.17715,0.00755
UEFA Europa League,2018,Young Boys,72.87324,0.00655
UEFA Europa League,2018,Club Brugge,70.06421,0.00595
UEFA Europa League,2018,Standard Liege,64.97079,0.0058
UEFA Europa League,2018,CSKA Moscow,69.14614,0.00565
UEFA Europa League,2018,PSV,69.544,0.0054
UEFA Europa League,2018,TSG Hoffenheim,71.37629,0.0053
UEFA Europa League,2018,FC Krasnodar,63.91693,0.00525
UEFA Europa League,2018,AS Monaco,68.99453,0.005
UEFA Europa League,2018,Genk,62.5643,0.00485
UEFA Europa League,2018,Schalke 04,71.87176,0.00405
UEFA Europa League,2018,Stade Rennes,62.75009,0.00395
UEFA Europa League,2018,Bordeaux,63.08665,0.0039
UEFA Europa League,2018,FC Copenhagen,62.08036,0.00365
UEFA Europa League,2018,AEK Athens,66.44339,0.00335
UEFA Europa League,2018,Red Star Belgrade,67.19438,0.00305
UEFA Europa League,2018,Lokomotiv Moscow,62.0129,0.0019
UEFA Europa League,2018,Viktoria Plzen,62.29795,0.0016
UEFA Europa League,2018,Rapid Vienna,55.76956,0.00145
UEFA Europa League,2018,Celtic,56.92354,0.00125
UEFA Europa League,2018,Dinamo Zagreb,54.97384,0.001
UEFA Europa League,2018,Rosenborg,56.06859,0.0009
UEFA Europa League,2018,FC Astana,54.13592,0.0009
UEFA Europa League,2018,Malmo FF,54.33275,0.0008
UEFA Europa League,2018,Jablonec,52.96922,0.0004
UEFA Europa League,2018,Vorskla,50.87457,0.0002
UEFA Europa League,2018,FC Zurich,48.67941,0.00015
UEFA Europa League,2018,FK Qarabag,47.27839,0.00015
UEFA Europa League,2018,Akhisar Belediye,44.58801,0.0001
UEFA Europa League,2018,AEK Larnaca,44.76049,0.00005
UEFA Europa League,2018,Rangers,43.98421,0.00005
UEFA Europa League,2018,Sarpsborg,39.68293,0.00005
UEFA Europa League,2018,BATE Borisov,48.41474,0.00001
UEFA Europa League,2018,Apollon Limassol,45.28821,0.00001
UEFA Europa League,2018,Slavia Prague,41.09732,0.00001
UEFA Europa League,2018,FC Spartak Trnava,35.55426,0.00001
UEFA Europa League,2018,F91 Dudelange,38.34154,0.00001
UEFA Europa League,2018,Videoton FC,40.17232,0.00001
UEFA Europa League,2017,Athletic Bilbao,76.91219,0.06375
UEFA Europa League,2017,Real Sociedad,75.91706,0.0524
UEFA Europa League,2017,AC Milan,74.82395,0.05155
UEFA Europa League,2017,TSG Hoffenheim,74.64028,0.05025
UEFA Europa League,2017,Arsenal,76.02396,0.04635
UEFA Europa League,2017,Tottenham Hotspur,79.94287,0.0447
UEFA Europa League,2017,Borussia Dortmund,86.65467,0.04205
UEFA Europa League,2017,Lyon,73.60273,0.0358
UEFA Europa League,2017,Zenit St Petersburg,71.68162,0.035
UEFA Europa League,2017,Villarreal,71.82224,0.03275
UEFA Europa League,2017,Dynamo Kiev,69.96567,0.02935
UEFA Europa League,2017,Lazio,70.76433,0.0291
UEFA Europa League,2017,AS Roma,80.19012,0.02905
UEFA Europa League,2017,Chelsea,82.34817,0.0268
UEFA Europa League,2017,Atletico Madrid,82.64499,0.0255
UEFA Europa League,2017,Marseille,68.39797,0.02385
UEFA Europa League,2017,Real Madrid,93.03483,0.0232
UEFA Europa League,2017,Atalanta,69.81091,0.02315
UEFA Europa League,2017,Juventus,86.96859,0.0183
UEFA Europa League,2017,FC Salzburg,66.71445,0.01765
UEFA Europa League,2017,Manchester City,84.61524,0.017
UEFA Europa League,2017,Napoli,81.85579,0.0161
UEFA Europa League,2017,FC Cologne,67.88392,0.0153
UEFA Europa League,2017,AS Monaco,83.16449,0.0146
UEFA Europa League,2017,Hertha Berlin,65.73773,0.0145
UEFA Europa League,2017,Everton,67.03491,0.01445
UEFA Europa League,2017,Sporting CP,69.2367,0.0142
UEFA Europa League,2017,Shakhtar Donetsk,72.9044,0.01405
UEFA Europa League,2017,Lokomotiv Moscow,63.6703,0.0134
UEFA Europa League,2017,RB Leipzig,75.05316,0.0132
UEFA Europa League,2017,FC Porto,74.65407,0.0124
UEFA Europa League,2017,Benfica,76.2289,0.01215
UEFA Europa League,2017,Paris Saint-Germain,89.45399,0.0115
UEFA Europa League,2017,Manchester United,84.67976,0.01075
UEFA Europa League,2017,Barcelona,93.13822,0.00965
UEFA Europa League,2017,CSKA Moscow,68.46393,0.0088
UEFA Europa League,2017,Nice,61.66809,0.00825
UEFA Europa League,2017,Bayern Munich,93.05769,0.00785
